Date,Mkt-RF,SMB,HML,RF
2019-01-31,8.4,2.9,-0.46,0.21
2019-02-28,3.4,2.05,-2.67,0.18
2019-03-31,1.1,-3.05,-4.17,0.19
2019-04-30,3.97,-1.74,2.15,0.21
2019-05-31,-6.94,-1.32,-2.37,0.21
2019-06-30,6.93,0.29,-0.71,0.18
2019-07-31,1.19,-1.93,0.48,0.19
2019-08-31,-2.58,-2.38,-4.78,0.16
2019-09-30,1.43,-0.96,6.75,0.18
2019-10-31,2.06,0.29,-1.91,0.16
2019-11-30,3.87,0.77,-2.02,0.12
2019-12-31,2.77,0.73,1.75,0.14
2020-01-31,-0.11,-3.11,-6.25,0.13
2020-02-29,-8.13,1.07,-3.81,0.12
2020-03-31,-13.39,-4.83,-13.87,0.13
2020-04-30,13.65,2.45,-1.33,0.0
2020-05-31,5.58,2.47,-4.88,0.01
2020-06-30,2.46,2.69,-2.2,0.01
2020-07-31,5.77,-2.33,-1.41,0.01
2020-08-31,7.63,-0.22,-2.97,0.01
2020-09-30,-3.63,0.02,-2.71,0.01
2020-10-31,-2.1,4.38,4.25,0.01
2020-11-30,12.47,5.8,2.09,0.01
2020-12-31,4.63,4.89,-1.51,0.01
2021-01-31,-0.03,7.36,3.01,0.01
2021-02-28,2.78,2.05,7.15,0.0
2021-03-31,3.08,-2.37,7.39,0.0
2021-04-30,4.93,-3.19,-0.95,0.0
2021-05-31,0.29,-0.25,7.09,0.0
